"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","12 May 2025","21440.45","21728.55","21435.85","21706.25"
"NIFTY MICROCAP 250","09 May 2025","20219.75","20791.95","20215.85","20744.80"
"NIFTY MICROCAP 250","08 May 2025","21039","21287.6","20682.65","20767.05"
"NIFTY MICROCAP 250","07 May 2025","20381.25","20984.45","20380.25","20944.40"
"NIFTY MICROCAP 250","06 May 2025","21278.5","21340.45","20652.85","20680.70"
"NIFTY MICROCAP 250","05 May 2025","21013.15","21260.05","20878.6","21238.00"
"NIFTY MICROCAP 250","02 May 2025","20945.6","21110.7","20709.35","20932.35"
"NIFTY MICROCAP 250","30 Apr 2025","21400.15","21430.05","20866.05","20950.55"
"NIFTY MICROCAP 250","29 Apr 2025","21504.6","21716","21391.6","21416.45"
"NIFTY MICROCAP 250","28 Apr 2025","21378.05","21565","21216.55","21442.90"
"NIFTY MICROCAP 250","25 Apr 2025","22090.05","22105.1","21175.65","21447.30"
"NIFTY MICROCAP 250","24 Apr 2025","21972.65","22156.6","21911.45","22038.05"
"NIFTY MICROCAP 250","23 Apr 2025","22096.95","22149.5","21657.75","21943.15"
"NIFTY MICROCAP 250","22 Apr 2025","21858.4","22021.85","21616.4","21939.60"
"NIFTY MICROCAP 250","21 Apr 2025","21539.4","21781.3","21400.75","21753.15"
"NIFTY MICROCAP 250","17 Apr 2025","21311.25","21480.05","21187.55","21434.30"
"NIFTY MICROCAP 250","16 Apr 2025","21185.35","21306.2","21126","21275.80"
"NIFTY MICROCAP 250","15 Apr 2025","20794.3","21132.15","20742.45","21103.35"
"NIFTY MICROCAP 250","11 Apr 2025","20308.15","20457.7","20108.35","20441.70"
"NIFTY MICROCAP 250","09 Apr 2025","19973.75","19999.55","19609.2","19762.50"
"NIFTY MICROCAP 250","08 Apr 2025","20008.7","20158.7","19723","20021.25"
"NIFTY MICROCAP 250","07 Apr 2025","18531","19664.45","18526.65","19549.90"
"NIFTY MICROCAP 250","04 Apr 2025","21194.05","21210.6","20305.15","20433.95"
"NIFTY MICROCAP 250","03 Apr 2025","20802.2","21224.75","20795.95","21205.90"
"NIFTY MICROCAP 250","02 Apr 2025","20909.25","21005.15","20518","20988.60"
"NIFTY MICROCAP 250","01 Apr 2025","20663.35","20945.65","20597.9","20845.70"
"NIFTY MICROCAP 250","28 Mar 2025","20959.8","21144.05","20649.1","20685.60"
"NIFTY MICROCAP 250","27 Mar 2025","20675.85","20985.35","20586.7","20886.75"
"NIFTY MICROCAP 250","26 Mar 2025","21130.8","21184.1","20714.25","20737.00"
"NIFTY MICROCAP 250","25 Mar 2025","21789.3","21825.05","21042.8","21094.10"
"NIFTY MICROCAP 250","24 Mar 2025","21557.9","21731.2","21440.3","21624.85"
"NIFTY MICROCAP 250","21 Mar 2025","20991.65","21402.55","20943.05","21358.10"
"NIFTY MICROCAP 250","20 Mar 2025","20912.5","21123","20738.35","20917.50"
"NIFTY MICROCAP 250","19 Mar 2025","20394.8","20773.95","20393.4","20734.80"
"NIFTY MICROCAP 250","18 Mar 2025","19814.2","20306.25","19793","20286.35"
"NIFTY MICROCAP 250","17 Mar 2025","19856.45","19978.45","19672","19692.80"
"NIFTY MICROCAP 250","13 Mar 2025","20047.85","20092.85","19765.35","19791.65"
"NIFTY MICROCAP 250","12 Mar 2025","20186.75","20254.75","19904.7","19975.75"
"NIFTY MICROCAP 250","11 Mar 2025","20038.15","20229.4","19812.1","20119.45"
"NIFTY MICROCAP 250","10 Mar 2025","20810.5","20950.45","20218.3","20267.25"
