"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TIMETECHNO","EQ","15-Oct-2024","418.20","427.00","444.85","423.05","438.10","438.35","436.35","30,03,237","1,31,04,68,376.90","75,142","8,34,617","27.79"
"TIMETECHNO","EQ","16-Oct-2024","438.35","438.80","463.70","438.60","460.60","461.50","455.70","23,42,622","1,06,75,32,209.50","72,901","7,20,094","30.74"
"TIMETECHNO","EQ","17-Oct-2024","461.50","463.15","474.00","450.10","453.95","453.65","461.94","17,22,548","79,57,18,208.20","59,631","6,14,106","35.65"
"TIMETECHNO","EQ","18-Oct-2024","453.65","453.95","456.90","433.25","453.15","454.20","446.60","10,81,512","48,30,07,464.05","41,938","3,48,522","32.23"
"TIMETECHNO","EQ","21-Oct-2024","454.20","456.00","470.70","447.70","451.60","451.15","457.76","8,73,918","40,00,48,571.45","38,939","2,58,786","29.61"
"TIMETECHNO","EQ","22-Oct-2024","451.15","450.00","450.00","418.80","422.75","423.65","432.93","13,31,991","57,66,59,702.90","55,196","5,62,330","42.22"
"TIMETECHNO","EQ","23-Oct-2024","423.65","422.55","436.90","415.05","420.00","421.55","426.10","12,99,545","55,37,30,977.70","47,386","4,37,175","33.64"
"TIMETECHNO","EQ","24-Oct-2024","421.55","419.75","429.35","406.05","407.90","407.35","415.99","7,74,901","32,23,53,517.30","33,098","2,81,762","36.36"
"TIMETECHNO","EQ","25-Oct-2024","407.35","408.90","412.60","390.65","397.85","398.70","398.16","7,72,407","30,75,40,859.95","45,174","2,60,587","33.74"
"TIMETECHNO","EQ","28-Oct-2024","398.70","398.70","414.40","397.55","401.40","400.50","405.66","10,44,375","42,36,56,780.70","43,213","2,84,616","27.25"
"TIMETECHNO","EQ","29-Oct-2024","400.50","401.70","406.00","394.10","401.40","403.15","400.86","7,25,783","29,09,37,760.25","21,919","1,38,964","19.15"
"TIMETECHNO","EQ","30-Oct-2024","403.15","405.25","415.80","401.40","410.70","411.95","409.55","7,19,772","29,47,86,108.05","23,072","1,52,682","21.21"
"TIMETECHNO","EQ","31-Oct-2024","411.95","411.95","424.90","405.85","423.90","423.20","416.41","10,77,754","44,87,89,329.65","23,574","2,37,598","22.05"
"TIMETECHNO","EQ","01-Nov-2024","423.20","427.00","435.65","425.80","428.40","430.95","431.52","2,70,392","11,66,79,753.40","6,934","67,611","25.00"
"TIMETECHNO","EQ","04-Nov-2024","430.95","432.20","432.65","405.10","408.50","407.10","413.38","7,69,223","31,79,84,546.80","33,534","3,06,973","39.91"
"TIMETECHNO","EQ","05-Nov-2024","407.10","406.95","420.80","405.65","410.20","409.65","412.01","7,26,263","29,92,27,896.80","33,052","2,03,726","28.05"
"TIMETECHNO","EQ","06-Nov-2024","409.65","411.00","425.80","411.00","422.05","423.00","420.61","7,62,821","32,08,52,641.75","34,140","3,64,064","47.73"
"TIMETECHNO","EQ","07-Nov-2024","423.00","423.80","428.45","414.05","414.75","417.00","420.02","6,08,601","25,56,24,914.65","22,993","1,85,335","30.45"
"TIMETECHNO","EQ","08-Nov-2024","417.00","417.00","419.00","403.10","404.25","405.10","410.61","6,70,364","27,52,59,896.05","29,214","3,01,428","44.96"
"TIMETECHNO","EQ","11-Nov-2024","405.10","405.45","410.90","398.60","404.50","404.40","405.21","8,99,825","36,46,19,754.45","49,836","4,17,078","46.35"
"TIMETECHNO","EQ","12-Nov-2024","404.40","425.00","425.00","386.40","391.00","394.50","406.49","21,96,464","89,28,39,085.85","65,085","6,95,199","31.65"
"TIMETECHNO","EQ","13-Nov-2024","394.50","396.10","397.15","362.65","370.20","365.90","374.89","14,25,414","53,43,73,879.70","57,001","6,16,629","43.26"
"TIMETECHNO","EQ","14-Nov-2024","365.90","370.00","393.00","370.00","384.10","387.40","388.33","20,25,630","78,66,04,595.65","86,606","9,53,489","47.07"
"TIMETECHNO","EQ","18-Nov-2024","387.40","387.40","389.70","373.05","374.50","375.40","377.37","9,62,776","36,33,26,880.20","50,819","4,73,755","49.21"
"TIMETECHNO","EQ","19-Nov-2024","375.40","380.00","382.50","363.95","365.10","366.50","374.74","11,48,068","43,02,27,225.15","33,906","4,33,846","37.79"
"TIMETECHNO","EQ","21-Nov-2024","366.50","366.25","380.50","355.20","371.90","371.50","367.74","14,06,296","51,71,57,192.15","58,214","3,58,917","25.52"
"TIMETECHNO","EQ","22-Nov-2024","371.50","372.55","393.15","369.05","391.95","391.05","385.95","10,09,847","38,97,47,434.50","39,967","4,12,341","40.83"
"TIMETECHNO","EQ","25-Nov-2024","391.05","412.25","412.45","398.00","411.00","410.40","406.98","12,72,869","51,80,28,801.10","31,271","4,77,598","37.52"
"TIMETECHNO","EQ","26-Nov-2024","410.40","414.55","427.75","412.15","423.00","424.50","419.60","12,14,880","50,97,68,498.75","39,060","3,74,624","30.84"
"TIMETECHNO","EQ","27-Nov-2024","424.50","424.80","432.40","419.20","426.80","426.65","425.23","8,42,984","35,84,59,599.00","28,690","3,23,418","38.37"
"TIMETECHNO","EQ","28-Nov-2024","426.65","428.00","436.55","425.35","431.00","429.85","430.66","11,13,190","47,94,05,008.70","28,572","3,66,702","32.94"
"TIMETECHNO","EQ","29-Nov-2024","429.85","429.85","452.70","424.70","448.70","449.45","440.78","18,57,981","81,89,61,155.70","36,633","4,94,930","26.64"
"TIMETECHNO","EQ","02-Dec-2024","449.45","449.60","463.90","443.45","448.10","449.75","451.53","12,07,870","54,53,89,834.55","37,026","3,08,879","25.57"
"TIMETECHNO","EQ","03-Dec-2024","449.75","449.80","457.95","446.80","448.50","449.45","450.89","9,99,296","45,05,76,494.55","32,029","2,58,354","25.85"
"TIMETECHNO","EQ","04-Dec-2024","449.45","449.45","450.40","443.95","445.20","445.90","447.41","6,43,943","28,81,04,897.65","30,008","2,12,581","33.01"
